백운,30457,4911,27679,9739
동암,68419,13964,64727,17534
주안,67161,20296,61744,33308
제물포,42324,15897,36828,38397
동인천,46600,24963,37088,35840
인천,6490,6744,5773,9254
구일,29997,10100,26125,17785
소사,33005,8726,29867,15384
부개,45580,6463,37604,11381
간석,26831,4820,21546,10406
도원,8540,7868,7784,23554
온수(성공회대입구),25335,11103,22832,15885
중동,48549,5445,38605,13284
도화,18350,4441,15599,7244
이촌(국립중앙박물관),9398,4853,10556,9262
서빙고,3490,5164,4221,9730
한남,4734,11722,5891,15278
옥수,66,37,114,271
응봉,8510,1765,8663,2790
왕십리(성동구청),29230,13344,45398,25671
청량리(서울시립대입구),29875,17252,46324,27313
외대앞,21098,5387,24880,34165
신이문,39127,4378,42433,8646
석계,25845,5498,30034,10352
광운대,32895,6678,30116,27757
월계,28346,9058,25926,17799
녹천,23317,5556,21399,5422
창동,0,0,3,0
방학,38606,10052,33779,21644
도봉,21692,4303,19587,10517
도봉산,23162,4570,22498,8955
망월사,30818,5296,29640,28862
회룡,62436,8944,52743,13398
의정부,55176,13833,52141,37096
가능,27131,8025,24145,16857
녹양,19849,5567,17005,9973
양주,33843,11163,27023,12377
덕계,19890,4359,17658,7242
덕정,20316,10611,20793,20937
지행,24707,6086,25468,13757
동두천중앙,9006,4364,9437,10729
보산,4648,3039,4145,2942
동두천,5555,7531,6983,8241
소요산,3364,2082,5169,3587
산본,61750,15976,57835,31492
대야미,20398,5835,21942,9044
반월,19052,4151,17544,8460
상록수,73061,14131,69111,24797
한대앞,34746,9361,29848,28977
중앙,64578,18276,55249,40585
고잔,34130,14194,26622,29662
초지,25424,9385,19526,12112
안산,23646,41091,24250,35904
신길온천,8757,3584,7206,2855
정왕,22348,26631,20021,42695
오이도,36590,12828,29600,14692
수리산,20160,4766,19356,7705
선바위,18791,21344,20451,29431
경마공원,2200,4224,2673,11734
대공원,713,4582,1068,10763
과천,31823,5401,28077,9298
정부과천청사,22781,28434,20722,81147
인덕원,87060,44743,75129,109417
평촌,66753,36964,51067,94159
범계,103913,25018,84311,64778
선릉,5990,46476,7823,145980
한티,26205,31578,32011,51910
도곡,11679,16701,17063,26198
구룡,4764,12248,6517,6495
개포동,12217,7643,13722,11450
대모산입구,21805,6558,22632,11985
수서,27880,30456,43634,49048
복정,0,0,0,0
수원,26685,10167,26904,16128
서울숲,13858,25512,24277,48781
압구정로데오,6272,27552,9360,82597
강남구청,8495,16708,11564,59132
선정릉,5280,13934,7914,53729
가천대,20157,7652,27354,50552
태평,45883,8663,66159,18813
모란,58877,24908,72820,39314
야탑,61238,44913,68072,106258
서현,40609,35972,45848,89653
수내,20539,27494,27153,65691
정자,33413,46308,37877,85921
미금,29535,22695,35056,48007
오리,32951,16026,36265,36973
이매,17178,13443,17931,17067
보정,10408,3194,11242,7910
죽전,48066,18459,44161,36479
구성,24063,4672,24615,9069
신갈,22458,2756,22804,7154
기흥,42539,14333,43329,34389
상갈,22983,7459,25495,11460
청명,21783,6034,21117,11252
영통,20531,11327,23723,29544
망포,65956,26571,61764,45499
매탄권선,25488,5253,24326,15563
수원시청,34301,18970,35579,53235
매교,21624,5456,21878,16091
원흥,52808,7057,55548,17448
지축,2,0,1,0
삼송,89780,18452,85596,32099
원당,48882,8643,49863,13858
화정,59131,12962,59366,33401
대곡,10328,3004,9343,3500
백석,24227,13456,25347,27390
마두,17458,8074,18538,22852
정발산,9269,6288,10607,21772
주엽,30056,7390,30407,15735
대화,69393,14583,50363,19321
회기,62474,33412,84226,77074
중랑,25499,3182,23546,6598
상봉(시외버스터미널),23899,5113,26734,8005
망우,33401,6137,27725,15402
양원,15546,9625,11634,6774
구리,64955,9617,55692,20769
도농,68821,9443,47931,17336
양정,1772,1785,1499,2277
덕소,27350,3509,22403,7635
도심,14923,1760,9552,6767
팔당,1697,1641,1291,3331
운길산,1703,589,2066,1288
양수,7196,2078,4870,3933
신원,537,578,373,386
국수,2797,727,2093,2176
아신,1997,477,1636,1147
오빈,861,334,1148,842
양평,9301,3926,6773,8173
원덕,1002,407,1207,563
용문,4278,2906,4850,3426
지평,352,238,204,250
봉명,2549,3791,3098,4530
쌍용(나사렛대),7688,1737,9587,9659
아산,7977,6215,9988,11557
탕정,4725,2046,4272,3248
배방,4288,1449,3966,2192
온양온천,10619,6425,12849,8919
신창(순천향대),2548,3667,2142,14549
신촌,748,4902,550,6283
효창공원앞,5735,6750,8456,19566
서강대,3673,3065,4235,11237
가좌,25854,4617,29516,12041
수색,3784,6044,5003,20169
화전,4780,2134,5160,11193
강매,21836,1348,19612,4026
행신,44123,6892,36841,11320
능곡,19503,2806,18738,7024
곡산,2010,1465,1624,3044
백마,39960,5955,29646,12226
풍산,26221,4181,22492,8907
일산,54481,7792,39264,20329
탄현,41887,6240,33213,10788
야당,35904,5747,34460,10029
운정,34669,7091,33241,12274
금릉,22945,6125,17798,12911
금촌,21884,9916,20215,17322
월롱,1944,10879,2207,13221
파주,3079,2225,2989,6174
문산,16816,7317,16238,16712
임진강,0,0,0,0
운천,0,0,0,0
서울역,3033,28382,3630,43864
공덕,4908,8282,5971,21361
홍대입구,1552,2266,1808,7707
디지털미디어시티,12702,2152,12798,4924
김포공항,0,0,0,0
계양,2,0,2,0
신내,9307,6382,7871,8982
갈매,19400,4037,11361,6314
별내,14472,4857,11189,8483
퇴계원,21394,4306,14520,5789
사릉,11944,5509,9105,5334
금곡,5133,2272,5363,6626
평내호평,33423,4902,25087,11386
천마산,9346,1606,6859,2279
마석,17246,6324,15178,7882
대성리,1741,730,1821,1134
청평,4461,1575,5791,4343
상천,676,285,786,731
가평,3690,2517,4265,6146
굴봉산,150,77,216,255
백양리,24,329,119,314
강촌,444,270,547,1689
김유정,690,507,565,810
남춘천,5095,2698,6190,5915
춘천,1642,1657,2542,4720
고색,18982,16573,15614,27254
오목천,14274,5616,15743,16360
어천,2659,3904,3077,3349
야목,1491,617,1374,729
사리,28484,3561,25711,5516
달월,139,170,206,309
월곶,11724,1990,12336,3250
소래포구,19738,3579,15645,6649
인천논현,18696,9245,16672,13956
호구포,8941,19671,8905,25495
남동인더스파크,1419,17258,2189,21470
원인재,15683,6121,17700,8527
연수,17734,4770,15472,12581
송도,10647,2727,10282,4372
인하대,26117,5606,20255,25175
숭의,15278,8857,13283,13049
신포,3595,4319,3349,10015
인천,2294,2883,2088,4802
판교,5931,17351,4474,35326
이매,5949,3366,4487,2917
삼동,14473,2789,14006,2983
경기광주,48250,6959,46647,10702
초월,17205,5019,17248,6409
곤지암,8552,5862,7693,8277
신둔도예촌,7273,3246,5311,4437
이천,9339,5786,7792,9819
부발,7193,6919,6483,6711
세종대왕릉,1150,680,1170,870
여주,7484,3883,7005,6275
방화,30032,6116,28011,14557
개화산,24065,7723,22330,17596
김포공항,5422,15388,8941,17862
송정,21761,7115,25621,12267
마곡,27452,16213,27638,53219
발산,30902,41832,31957,126794
우장산,63584,16719,63148,25910
화곡,128489,16371,161580,35634
까치산,136255,12157,167412,22756
신정(은행정),70609,9980,83695,13279
목동,66170,17646,79062,28868
오목교(목동운동장앞),56303,31565,62692,69165
양평,27030,9888,30967,39028
영등포구청,8598,6811,12153,26295
영등포시장,26152,14289,36815,40144
신길,17092,4862,25124,14918
여의도,10984,151352,15113,234312
여의나루,6052,43670,9547,76786
마포,30876,22511,39927,78571
공덕,23304,32598,35821,86089
애오개,20390,10421,27757,28366
충정로(경기대입구),7246,14428,9723,37205
서대문,20194,78307,25882,183602
광화문(세종문화회관),9590,87289,15128,289897
종로3가,3164,14757,5603,44884
을지로4가,1983,19283,3543,47556
동대문역사문화공원(DDP),1695,9945,3117,32756
청구,7714,4404,12282,16077
신금호,23099,10565,30864,13836
행당,35259,5286,46928,9888
왕십리(성동구청),6658,6523,9407,20044
마장,17094,6668,21740,17444
답십리,59857,15262,80022,36813
장한평,59096,24671,81674,69718
군자(능동),37015,8917,50349,29864
아차산(어린이대공원후문),46132,16767,63003,31603
광나루(장신대),44426,18859,49784,37741
천호(풍납토성),31468,20504,39631,43711
강동,61126,31109,73287,51666
길동,24383,8290,28346,18736
굽은다리(강동구민회관앞),40215,6501,39916,15480
명일,39803,7521,35757,14480
고덕,34351,19079,28484,18436
상일동,83928,13360,60855,17055
둔촌동,27394,11226,30102,20521
올림픽공원(한국체대),13485,7619,13370,12429
방이,21107,9265,19360,26292
오금,9159,10621,8637,22275
개롱,26469,8224,24416,16922
거여,54259,10367,48448,19166
마천,48275,5343,36833,12104
강일,27078,5270,24528,8311
미사,76417,12979,71826,25893
하남풍산,11403,7194,12976,17642
하남시청(덕풍·신장),29071,6719,27229,16656
하남검단산,25353,5819,22852,13332
응암,77338,11114,96556,18130
역촌,17551,2678,18472,8528
불광,12795,4105,14532,7902
독바위,15735,1761,14116,3020
연신내,2,0,3,0
구산,34843,8052,41314,7548
새절(신사),58016,8928,69297,15993
증산(명지대앞),43935,5583,52539,11232
디지털미디어시티,55525,32613,60336,76239
월드컵경기장(성산),9098,5015,10110,8617
마포구청,44872,15639,60523,36742
망원,29730,10354,40602,34235
합정,15946,17920,22636,46759
상수,10992,7446,14981,26910
광흥창(서강),22529,16384,29632,37948
